time,gro1,gro2,gro3,gro4,v1,v2,v3,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k6z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z,k21x,k21y,k21z,k22x,k22y,k22z,k23x,k23y,k23z,k24x,k24y,k24z,k25x,k25y,k25z,k26x,k26y,k26z,k27x,k27y,k27z,k28x,k28y,k28z,k29x,k29y,k29z,k30x,k30y,k30z,k31x,k31y,k31z,k32x,k32y,k32z,k33x,k33y,k33z
" 2022, 7, 4, 11, 12, 32, 15000",-0.04367,0.77842,0.02810,0.62559,1.01328,-0.00117,0.37630,-1.49310,0.87359,1.64363,-1.47421,0.69143,1.64562,-1.45532,0.50927,1.64762,-1.43635,0.32712,1.64969,-1.42658,0.32864,1.69440,-1.40182,0.33251,1.80768,-1.36407,0.50193,1.95123,-1.28301,0.65809,2.07755,-1.26680,0.68932,2.10281,-1.23437,0.75178,2.15333,-1.25563,0.75464,2.08916,-1.44612,0.32559,1.60498,-1.47088,0.32172,1.49170,-1.47282,0.54363,1.45310,-1.47966,0.75709,1.41708,-1.48103,0.79979,1.40987,-1.48377,0.88517,1.39547,-1.47117,0.85127,1.45266,-1.47176,0.87688,1.74127,-1.50259,1.32581,1.73855,-1.52689,1.72505,1.73545,-1.41598,1.83179,1.70885,-1.51445,0.87031,1.54599,-1.54528,1.31924,1.54327,-1.56958,1.71849,1.54017,-1.45868,1.82522,1.51357,-1.40157,0.19425,1.65211,-1.38411,0.10440,1.65481,-1.37398,0.07920,1.68260,-1.45865,0.09273,1.74837,-1.38377,0.07568,1.62864,-1.48638,0.08275,1.59551,-1.57196,1.82256,1.74328,-1.61466,1.81599,1.54800
" 2022, 7, 4, 11, 12, 32, 115000",-0.04197,0.76079,0.01768,0.64740,1.00158,-0.00141,0.32861,-1.37977,0.87865,1.62039,-1.36388,0.69626,1.62541,-1.34799,0.51387,1.63044,-1.33204,0.33149,1.63558,-1.32479,0.33339,1.68075,-1.30617,0.33830,1.79685,-1.28503,0.54028,1.90470,-1.20644,0.72498,1.99743,-1.19073,0.76192,2.01598,-1.15930,0.83580,2.05307,-1.17963,0.82413,1.98809,-1.33928,0.32958,1.59041,-1.35790,0.32468,1.47431,-1.35427,0.55244,1.44295,-1.35463,0.77157,1.41341,-1.35470,0.81539,1.40751,-1.35485,0.90304,1.39569,-1.34619,0.86622,1.45350,-1.36395,0.88274,1.71904,-1.39211,1.33175,1.70929,-1.41415,1.73104,1.70013,-1.30137,1.83695,1.67861,-1.39559,0.87455,1.52173,-1.42375,1.32356,1.51198,-1.44579,1.72284,1.50282,-1.33301,1.82875,1.48130,-1.29862,0.19830,1.63900,-1.28079,0.10850,1.64122,-1.27107,0.08310,1.66896,-1.35706,0.09563,1.73320,-1.27980,0.08003,1.61480,-1.38179,0.08692,1.57975,-1.45909,1.82883,1.70425,-1.49073,1.82064,1.50695
" 2022, 7, 4, 11, 12, 32, 198000",-0.03405,0.76599,0.01291,0.64182,0.99669,-0.00116,0.26806,-1.27699,0.88136,1.58654,-1.26440,0.69869,1.59093,-1.25181,0.51603,1.59531,-1.23918,0.33337,1.59975,-1.23122,0.33502,1.64481,-1.21077,0.33925,1.76060,-1.19187,0.56762,1.77985,-1.11685,0.77537,1.79027,-1.10184,0.81691,1.79235,-1.07183,0.90001,1.79651,-1.09328,0.86342,1.74199,-1.24714,0.33172,1.55469,-1.26758,0.32750,1.43891,-1.25632,0.55611,1.41674,-1.24709,0.77604,1.39571,-1.24525,0.82002,1.39150,-1.24156,0.90799,1.38309,-1.23404,0.86859,1.43933,-1.25960,0.88492,1.68496,-1.28377,1.33418,1.67639,-1.30258,1.73366,1.66830,-1.18926,1.83866,1.64524,-1.29437,0.87780,1.48813,-1.31853,1.32706,1.47957,-1.33735,1.72654,1.47148,-1.22402,1.83154,1.44842,-1.20773,0.19969,1.60290,-1.19019,0.10983,1.60454,-1.17998,0.08433,1.63202,-1.26454,0.09703,1.69810,-1.18987,0.08141,1.57805,-1.29255,0.08877,1.54519,-1.34663,1.83181,1.67330,-1.38139,1.82470,1.47647
" 2022, 7, 4, 11, 12, 32, 282000",-0.03164,0.77762,-0.00051,0.62793,0.98440,-0.00112,0.22100,-1.19212,0.86418,1.56332,-1.18323,0.68140,1.57074,-1.17433,0.49862,1.57816,-1.16540,0.31584,1.58569,-1.15581,0.31815,1.63040,-1.13131,0.32405,1.74466,-1.08970,0.54341,1.69478,-0.98804,0.72982,1.63726,-0.96771,0.76710,1.62576,-0.92704,0.84166,1.60275,-0.95894,0.79506,1.56360,-1.17499,0.31353,1.54097,-1.19948,0.30763,1.42672,-1.18178,0.53512,1.41022,-1.16659,0.75403,1.39474,-1.16356,0.79781,1.39165,-1.15748,0.88537,1.38546,-1.14946,0.84447,1.44010,-1.17118,0.86917,1.66097,-1.18948,1.31856,1.64649,-1.20340,1.71809,1.63311,-1.08962,1.82121,1.60445,-1.21306,0.85920,1.46566,-1.23136,1.30859,1.45118,-1.24528,1.70812,1.43780,-1.13150,1.81124,1.40914,-1.13550,0.18186,1.59056,-1.11772,0.09205,1.59269,-1.10679,0.06686,1.62018,-1.18977,0.08006,1.68813,-1.11797,0.06337,1.56649,-1.22142,0.07017,1.53603,-1.24596,1.81690,1.63820,-1.28784,1.80692,1.44289
" 2022, 7, 4, 11, 12, 32, 382000",-0.03346,0.80169,-0.02188,0.59639,0.97455,-0.00100,0.17241,-1.09816,0.85710,1.53836,-1.09312,0.67454,1.55210,-1.08807,0.49198,1.56583,-1.08298,0.30942,1.57971,-1.06987,0.31311,1.62342,-1.03653,0.32249,1.73455,-0.98448,0.51914,1.63150,-0.87357,0.67276,1.52115,-0.85139,0.70349,1.49908,-0.80703,0.76494,1.45493,-0.84845,0.71557,1.43171,-1.09609,0.30574,1.53599,-1.12943,0.29636,1.42486,-1.11465,0.52299,1.40428,-1.10280,0.74110,1.38519,-1.10043,0.78473,1.38137,-1.09568,0.87197,1.37374,-1.08302,0.83193,1.42786,-1.06952,0.86508,1.63384,-1.07845,1.31427,1.60845,-1.08471,1.71355,1.58537,-0.97134,1.81318,1.54513,-1.12680,0.84913,1.44288,-1.13573,1.29832,1.41749,-1.14199,1.69760,1.39441,-1.02861,1.79723,1.35417,-1.05698,0.17478,1.58774,-1.04089,0.08470,1.59130,-1.02878,0.06002,1.61875,-1.10710,0.07682,1.69129,-1.04333,0.05534,1.56597,-1.14833,0.06355,1.54176,-1.12459,1.81344,1.59109,-1.18187,1.79749,1.40014
" 2022, 7, 4, 11, 12, 32, 498000",-0.03344,0.83488,-0.02282,0.54893,0.95838,-0.00089,0.11600,-1.00921,0.86495,1.54429,-1.00357,0.68240,1.55800,-0.99794,0.49985,1.57170,-0.99223,0.31732,1.58558,-0.97414,0.32107,1.62748,-0.92817,0.33060,1.73392,-0.88605,0.52943,1.63096,-0.78920,0.68788,1.51476,-0.76983,0.71957,1.49152,-0.73108,0.78295,1.44503,-0.77399,0.73366,1.42467,-1.01032,0.31357,1.54369,-1.05628,0.30403,1.43724,-1.04859,0.53048,1.41345,-1.04223,0.74831,1.39101,-1.04096,0.79187,1.38652,-1.03841,0.87900,1.37754,-1.01891,0.83978,1.43013,-0.96970,0.87304,1.63580,-0.97966,1.32225,1.61123,-0.98754,1.72155,1.58898,-0.87933,1.82090,1.53587,-1.04872,0.85686,1.45279,-1.05868,1.30608,1.42822,-1.06656,1.70538,1.40596,-0.95835,1.80473,1.35286,-0.96759,0.18230,1.59114,-0.95217,0.09205,1.59309,-0.93729,0.06728,1.61906,-1.00663,0.08506,1.70000,-0.95781,0.06267,1.56830,-1.06478,0.07201,1.55619,-1.02624,1.82154,1.59926,-1.10526,1.80536,1.41625
" 2022, 7, 4, 11, 12, 32, 582000",-0.03775,0.86395,-0.02904,0.50132,0.94519,-0.00093,0.09723,-0.94635,0.87175,1.55197,-0.93974,0.68943,1.56809,-0.93312,0.50711,1.58421,-0.92639,0.32482,1.60057,-0.90375,0.32921,1.64012,-0.84621,0.34035,1.74065,-0.81273,0.53857,1.63347,-0.72641,0.69549,1.50733,-0.70915,0.72687,1.48210,-0.67462,0.78964,1.43165,-0.72009,0.74093,1.41603,-0.94903,0.32044,1.56101,-1.00656,0.30929,1.46048,-1.00857,0.53543,1.43298,-1.01182,0.75295,1.40727,-1.01247,0.79645,1.40213,-1.01377,0.88346,1.39185,-0.98712,0.84570,1.44233,-0.89690,0.88119,1.63837,-0.90782,1.33021,1.61087,-0.91760,1.72934,1.58647,-0.81585,1.82804,1.52085,-0.99580,0.86232,1.46557,-1.00673,1.31134,1.43807,-1.01650,1.71047,1.41366,-0.91475,1.80917,1.34805,-0.90346,0.18955,1.60729,-0.88902,0.09917,1.61028,-0.87170,0.07493,1.63521,-0.93161,0.09609,1.72262,-0.89768,0.06919,1.58714,-1.00521,0.07982,1.58641,-0.95478,1.82949,1.60021,-1.05368,1.81062,1.42740
" 2022, 7, 4, 11, 12, 32, 682000",-0.05032,0.90121,-0.02031,0.42997,0.93046,-0.00074,0.09449,-0.88771,0.87704,1.58893,-0.87429,0.69497,1.60355,-0.86088,0.51290,1.61818,-0.84724,0.33087,1.63307,-0.81862,0.33591,1.66846,-0.74572,0.34874,1.75859,-0.72162,0.55295,1.66055,-0.64827,0.71594,1.53392,-0.63360,0.74853,1.50860,-0.60426,0.81373,1.45794,-0.65268,0.76699,1.44552,-0.87586,0.32583,1.59769,-0.94876,0.31299,1.50756,-0.97177,0.53791,1.47972,-0.99511,0.75418,1.45394,-0.99978,0.79743,1.44878,-1.00911,0.88393,1.43847,-0.97179,0.84902,1.48398,-0.82519,0.88786,1.66622,-0.84704,1.33671,1.64283,-0.86578,1.73570,1.62148,-0.77720,1.83579,1.54064,-0.95022,0.86623,1.51163,-0.97208,1.31508,1.48824,-0.99082,1.71407,1.46689,-0.90223,1.81416,1.38606,-0.81746,0.19680,1.63582,-0.79860,0.10721,1.63750,-0.77583,0.08432,1.65911,-0.81922,0.10508,1.75588,-0.81005,0.07633,1.61688,-0.91620,0.08243,1.63622,-0.90156,1.83534,1.64131,-1.02659,1.81371,1.48672
" 2022, 7, 4, 11, 12, 32, 815000",-0.05799,0.93668,0.01209,0.34513,0.90675,-0.00086,0.11896,-0.80835,0.87913,1.68815,-0.78693,0.69726,1.69134,-0.76550,0.51540,1.69452,-0.74378,0.33357,1.69790,-0.70922,0.33825,1.72756,-0.62006,0.35033,1.80409,-0.60581,0.57612,1.77782,-0.54796,0.77418,1.70440,-0.53639,0.81379,1.68971,-0.51325,0.89301,1.66034,-0.56386,0.85177,1.63988,-0.77834,0.32890,1.66823,-0.86750,0.31682,1.59170,-0.91980,0.53828,1.58183,-0.95473,0.75278,1.55475,-0.96171,0.79568,1.54933,-0.97568,0.88148,1.53850,-0.93039,0.84916,1.57832,-0.73285,0.88916,1.75295,-0.76748,1.33780,1.74902,-0.79595,1.73674,1.74283,-0.72531,1.84060,1.64997,-0.88386,0.86910,1.62336,-0.91849,1.31774,1.61943,-0.94696,1.71668,1.61323,-0.87632,1.82055,1.52038,-0.70971,0.20088,1.68785,-0.68910,0.11178,1.68320,-0.66209,0.08895,1.69929,-0.68614,0.10620,1.80322,-0.70374,0.08115,1.66432,-0.80416,0.08407,1.70414,-0.82899,1.83509,1.77171,-0.98000,1.81504,1.64212
" 2022, 7, 4, 11, 12, 32, 898000",-0.05962,0.94839,0.01182,0.31121,0.89201,-0.00101,0.13164,-0.75040,0.88257,1.71165,-0.72834,0.70077,1.71434,-0.70628,0.51897,1.71703,-0.68387,0.33722,1.71993,-0.64729,0.34217,1.74702,-0.55093,0.35519,1.81838,-0.53239,0.58213,1.82987,-0.47455,0.78916,1.78689,-0.46298,0.83057,1.77829,-0.43985,0.91339,1.76110,-0.49301,0.87699,1.73786,-0.72045,0.33228,1.69284,-0.81681,0.31926,1.62148,-0.86604,0.53996,1.59238,-0.90786,0.75225,1.55715,-0.91622,0.79471,1.55011,-0.93295,0.87962,1.53602,-0.88410,0.85028,1.57400,-0.67048,0.89314,1.77082,-0.70424,1.34185,1.76704,-0.73250,1.74081,1.76130,-0.66853,1.84419,1.66321,-0.83032,0.87199,1.65248,-0.86408,1.32071,1.64870,-0.89234,1.71966,1.64296,-0.82837,1.82304,1.54487,-0.65004,0.20447,1.70994,-0.63004,0.11516,1.70671,-0.60222,0.09267,1.72186,-0.62008,0.11306,1.82647,-0.64587,0.08407,1.68963,-0.74377,0.08867,1.73514,-0.76324,1.83934,1.79208,-0.92308,1.81819,1.67374
