time,gro1,gro2,gro3,gro4,v1,v2,v3,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k6z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z,k21x,k21y,k21z,k22x,k22y,k22z,k23x,k23y,k23z,k24x,k24y,k24z,k25x,k25y,k25z,k26x,k26y,k26z,k27x,k27y,k27z,k28x,k28y,k28z,k29x,k29y,k29z,k30x,k30y,k30z,k31x,k31y,k31z,k32x,k32y,k32z,k33x,k33y,k33z
" 2022, 7, 4, 11, 12, 32, 982000",-0.06447,0.96056,0.00564,0.27043,0.86969,-0.00112,0.16015,-0.70701,0.88421,1.72900,-0.68377,0.70260,1.73340,-0.66053,0.52098,1.73780,-0.63684,0.33943,1.74242,-0.59815,0.34509,1.76624,-0.49328,0.36041,1.83079,-0.46015,0.58639,1.84818,-0.39348,0.79223,1.80700,-0.38015,0.83340,1.79877,-0.35348,0.91573,1.78230,-0.41074,0.88317,1.76242,-0.67554,0.33378,1.71861,-0.78040,0.31845,1.65406,-0.83038,0.53924,1.61905,-0.88008,0.75156,1.58807,-0.89002,0.79402,1.58188,-0.90990,0.87895,1.56949,-0.85650,0.85054,1.60228,-0.62247,0.89629,1.78102,-0.65697,1.34492,1.77469,-0.68624,1.74377,1.76677,-0.63098,1.84604,1.66243,-0.79156,0.87213,1.67697,-0.82605,1.32076,1.67064,-0.85532,1.71961,1.66272,-0.80006,1.82188,1.55838,-0.60156,0.20708,1.73206,-0.58054,0.11799,1.72957,-0.55143,0.09623,1.74331,-0.56243,0.11895,1.84838,-0.59705,0.08628,1.71435,-0.69169,0.09075,1.76632,-0.71442,1.84263,1.79891,-0.88350,1.81847,1.69486
" 2022, 7, 4, 11, 12, 33, 82000",-0.07061,0.97300,0.00195,0.21972,0.84309,-0.00087,0.17847,-0.67378,0.88306,1.74030,-0.64845,0.70174,1.74529,-0.62313,0.52042,1.75028,-0.59723,0.33918,1.75550,-0.55634,0.34559,1.77509,-0.44199,0.36351,1.82986,-0.39310,0.58939,1.84432,-0.31766,0.79334,1.79647,-0.30258,0.83413,1.78690,-0.27240,0.91571,1.76776,-0.33389,0.88649,1.75350,-0.63812,0.33278,1.73592,-0.75247,0.31485,1.68115,-0.80551,0.53841,1.65228,-0.85799,0.75338,1.62765,-0.86848,0.79638,1.62272,-0.88947,0.88237,1.61287,-0.83228,0.85329,1.63974,-0.58443,0.89671,1.78309,-0.62111,1.34516,1.77626,-0.65257,1.74383,1.76779,-0.60887,1.84527,1.65733,-0.76312,0.86940,1.69752,-0.79980,1.31785,1.69069,-0.83127,1.71652,1.68222,-0.78757,1.81796,1.57176,-0.55980,0.20756,1.74357,-0.53680,0.11897,1.74053,-0.50612,0.09814,1.75213,-0.50918,0.12212,1.85745,-0.55367,0.08666,1.72709,-0.64388,0.08959,1.78651,-0.67762,1.84291,1.80178,-0.85632,1.81560,1.71621
" 2022, 7, 4, 11, 12, 33, 215000",-0.07913,0.98297,0.00509,0.16576,0.79724,-0.00078,0.17486,-0.65318,0.88660,1.74803,-0.62438,0.70576,1.75100,-0.59558,0.52491,1.75397,-0.56601,0.34419,1.75717,-0.52335,0.35144,1.77212,-0.40032,0.37233,1.81524,-0.35184,0.60046,1.84743,-0.28431,0.81351,1.81144,-0.27081,0.85612,1.80425,-0.24380,0.94135,1.78985,-0.30729,0.91173,1.78020,-0.60868,0.33695,1.74221,-0.73170,0.31606,1.69910,-0.78659,0.54384,1.67602,-0.83954,0.76287,1.65435,-0.85013,0.80667,1.65001,-0.87131,0.89429,1.64134,-0.81107,0.86419,1.66294,-0.55993,0.90199,1.78069,-0.59953,1.35023,1.77761,-0.63385,1.74872,1.77235,-0.60309,1.85024,1.65769,-0.74643,0.87122,1.71536,-0.78603,1.31946,1.71228,-0.82035,1.71795,1.70702,-0.78959,1.81946,1.59235,-0.52684,0.21362,1.74031,-0.50199,0.12572,1.73375,-0.46988,0.10555,1.74218,-0.46390,0.12798,1.84772,-0.51920,0.09316,1.72138,-0.60366,0.09288,1.78880,-0.65555,1.84771,1.80882,-0.84205,1.81694,1.74349
" 2022, 7, 4, 11, 12, 33, 298000",-0.08174,0.98852,0.00662,0.12690,0.76112,-0.00074,0.16104,-0.64837,0.88891,1.74313,-0.61846,0.70822,1.74453,-0.58856,0.52754,1.74593,-0.55781,0.34699,1.74752,-0.51415,0.35453,1.75905,-0.38731,0.37642,1.79256,-0.35968,0.60904,1.82754,-0.31702,0.82996,1.79224,-0.30849,0.87414,1.78518,-0.29143,0.96250,1.77106,-0.35252,0.92646,1.76553,-0.60148,0.33946,1.73599,-0.72831,0.31756,1.70248,-0.78480,0.54683,1.68388,-0.83967,0.76730,1.66813,-0.85065,0.81140,1.66498,-0.87260,0.89959,1.65868,-0.81042,0.86919,1.67518,-0.55293,0.90490,1.76832,-0.59301,1.35311,1.76721,-0.62798,1.75156,1.76369,-0.60640,1.85281,1.64672,-0.74381,0.87291,1.71793,-0.78390,1.32112,1.71682,-0.81886,1.71957,1.71330,-0.79729,1.82082,1.59633,-0.51967,0.21670,1.72663,-0.49499,0.12908,1.71664,-0.46220,0.10897,1.72214,-0.44793,0.12972,1.82723,-0.51297,0.09661,1.70514,-0.59177,0.09470,1.77907,-0.64683,1.85063,1.80151,-0.83771,1.81864,1.75112
" 2022, 7, 4, 11, 12, 33, 382000",-0.08104,0.99315,0.00656,0.08388,0.72034,-0.00072,0.12485,-0.64860,0.88615,1.71495,-0.61891,0.70543,1.71506,-0.58923,0.52470,1.71516,-0.55869,0.34411,1.71537,-0.51418,0.35165,1.72305,-0.38468,0.37358,1.74539,-0.38116,0.60900,1.77728,-0.36664,0.83355,1.73779,-0.36374,0.87847,1.72989,-0.35793,0.96829,1.71409,-0.41494,0.92536,1.71335,-0.60319,0.33658,1.70770,-0.73270,0.31465,1.68536,-0.79046,0.54487,1.67445,-0.84635,0.76623,1.66598,-0.85753,0.81050,1.66428,-0.87989,0.89904,1.66089,-0.81633,0.86833,1.67147,-0.55132,0.90214,1.73172,-0.59101,1.35039,1.73269,-0.62590,1.74886,1.73125,-0.61451,1.84981,1.61260,-0.74587,0.87017,1.69819,-0.78557,1.31841,1.69916,-0.82046,1.71688,1.69772,-0.80906,1.81783,1.57906,-0.52400,0.21349,1.69082,-0.50090,0.12591,1.67737,-0.46783,0.10561,1.67929,-0.44291,0.12502,1.78263,-0.52012,0.09365,1.66737,-0.59106,0.09115,1.74884,-0.64133,1.84803,1.77032,-0.83589,1.81605,1.73679
" 2022, 7, 4, 11, 12, 33, 482000",-0.07850,0.99660,0.00445,0.02444,0.66480,-0.00050,0.09603,-0.67224,0.88412,1.70066,-0.64355,0.70323,1.69974,-0.61485,0.52235,1.69882,-0.58537,0.34159,1.69793,-0.54023,0.34894,1.70019,-0.40871,0.37036,1.70678,-0.42571,0.60688,1.73245,-0.43804,0.83112,1.68598,-0.44050,0.87597,1.67669,-0.44544,0.96567,1.65810,-0.49781,0.91720,1.66446,-0.63051,0.33424,1.69567,-0.76203,0.31282,1.68908,-0.81873,0.54449,1.68658,-0.87330,0.76724,1.68519,-0.88421,0.81179,1.68491,-0.90604,0.90089,1.68436,-0.84173,0.86944,1.68724,-0.57360,0.89974,1.70560,-0.61239,1.34806,1.70748,-0.64678,1.74658,1.70729,-0.64948,1.84666,1.58739,-0.77089,0.86849,1.69572,-0.80968,1.31681,1.69759,-0.84407,1.71533,1.69741,-0.84678,1.81541,1.57751,-0.55587,0.20958,1.67402,-0.53542,0.12145,1.65985,-0.50252,0.10093,1.65745,-0.46248,0.12302,1.75535,-0.55604,0.08910,1.65374,-0.61414,0.08951,1.74486,-0.65734,1.84606,1.74719,-0.85464,1.81481,1.73731
" 2022, 7, 4, 11, 12, 33, 615000",-0.06904,0.99658,0.00775,-0.04461,0.56509,-0.00029,0.04345,-0.71847,0.88685,1.67802,-0.69340,0.70547,1.67407,-0.66832,0.52409,1.67011,-0.64267,0.34279,1.66609,-0.59752,0.34926,1.66207,-0.46534,0.36822,1.65031,-0.50167,0.60456,1.67252,-0.54098,0.82650,1.62238,-0.54884,0.87089,1.61235,-0.56457,0.95967,1.59230,-0.61128,0.90651,1.60632,-0.68782,0.33631,1.67011,-0.82000,0.31735,1.68188,-0.87482,0.55102,1.67417,-0.92726,0.77586,1.66995,-0.93774,0.82082,1.66910,-0.95872,0.91076,1.66742,-0.89447,0.87823,1.66311,-0.61982,0.90068,1.66924,-0.65545,1.34922,1.67554,-0.68726,1.74793,1.67958,-0.70593,1.84796,1.56107,-0.81712,0.87302,1.68681,-0.85275,1.32156,1.69311,-0.88456,1.72027,1.69715,-0.90323,1.82031,1.57864,-0.62403,0.20876,1.64248,-0.60993,0.11963,1.62688,-0.57903,0.09786,1.61793,-0.51765,0.12076,1.70387,-0.63238,0.08792,1.62649,-0.66883,0.09261,1.72811,-0.69164,1.84749,1.72043,-0.88894,1.81983,1.73800
" 2022, 7, 4, 11, 12, 33, 698000",-0.05727,0.99561,0.01440,-0.07261,0.48436,-0.00018,0.00746,-0.77184,0.89559,1.65655,-0.75134,0.71372,1.64978,-0.73083,0.53185,1.64300,-0.70994,0.35002,1.63616,-0.66495,0.35544,1.62961,-0.53260,0.37137,1.61037,-0.56985,0.60824,1.63639,-0.61388,0.83114,1.58991,-0.62268,0.87572,1.58061,-0.64029,0.96488,1.56202,-0.68593,0.91098,1.57820,-0.75493,0.34461,1.64270,-0.88728,0.32868,1.66194,-0.93965,0.56405,1.65653,-0.98960,0.79050,1.65422,-0.99959,0.83580,1.65375,-1.01957,0.92638,1.65283,-0.95580,0.89286,1.64507,-0.67355,0.90720,1.64226,-0.70502,1.35596,1.65361,-0.73332,1.75487,1.66149,-0.75782,1.85572,1.54474,-0.87013,0.88398,1.67084,-0.90160,1.33273,1.68219,-0.92990,1.73165,1.69008,-0.95440,1.83249,1.57333,-0.69957,0.21514,1.61236,-0.69086,0.12533,1.59670,-0.66203,0.10219,1.58476,-0.59070,0.12346,1.66309,-0.71447,0.09458,1.59925,-0.73930,0.10190,1.70417,-0.73459,1.85423,1.70304,-0.93117,1.83101,1.73163
" 2022, 7, 4, 11, 12, 33, 798000",-0.04082,0.99338,0.02895,-0.10340,0.38626,-0.00016,-0.02747,-0.84799,0.89560,1.63606,-0.83423,0.71337,1.62398,-0.82048,0.53114,1.61190,-0.80650,0.34893,1.59974,-0.76185,0.35298,1.59045,-0.62974,0.36495,1.56295,-0.65414,0.60403,1.59276,-0.69062,0.83006,1.55027,-0.69791,0.87526,1.54178,-0.71250,0.96567,1.52478,-0.75970,0.91362,1.54362,-0.85115,0.34489,1.60904,-0.98325,0.33292,1.63653,-1.03243,0.56990,1.64483,-1.07936,0.79777,1.65450,-1.08875,0.84335,1.65643,-1.10752,0.93449,1.66029,-1.04461,0.90042,1.64711,-0.75046,0.90431,1.61575,-0.77343,1.35323,1.63686,-0.79444,1.75236,1.65281,-0.82445,1.85553,1.53944,-0.94552,0.88690,1.65637,-0.96849,1.33581,1.67748,-0.98949,1.73494,1.69343,-1.01951,1.83811,1.58005,-0.80681,0.21444,1.57179,-0.80448,0.12455,1.55447,-0.77846,0.10023,1.53896,-0.69730,0.11695,1.60832,-0.82911,0.09494,1.55960,-0.84080,0.10197,1.66680,-0.79144,1.85101,1.69593,-0.98649,1.83359,1.73654
" 2022, 7, 4, 11, 12, 33, 882000",-0.02841,0.99020,0.04209,-0.13010,0.27835,-0.00008,-0.04839,-0.92107,0.88984,1.62565,-0.91277,0.70764,1.60903,-0.90447,0.52543,1.59241,-0.89600,0.34325,1.57569,-0.85184,0.34637,1.56401,-0.72065,0.35565,1.52930,-0.72322,0.59725,1.55227,-0.74328,0.82470,1.50410,-0.74729,0.87019,1.49447,-0.75532,0.96117,1.47520,-0.80558,0.91380,1.49855,-0.94016,0.34012,1.58738,-1.07135,0.33084,1.62208,-1.11531,0.56906,1.63685,-1.15770,0.79813,1.65062,-1.16618,0.84394,1.65338,-1.18313,0.93557,1.65889,-1.12148,0.90044,1.64216,-0.82462,0.89657,1.60013,-0.83852,1.34544,1.62869,-0.85166,1.74459,1.65119,-0.88599,1.84988,1.54103,-1.01752,0.88312,1.65118,-1.03143,1.33200,1.67974,-1.04456,1.73114,1.70224,-1.07889,1.83644,1.59208,-0.90387,0.21022,1.54238,-0.90610,0.12099,1.52191,-0.88223,0.09640,1.50360,-0.79545,0.10788,1.56697,-0.93130,0.09204,1.52793,-0.93449,0.09554,1.63589,-0.84459,1.84254,1.69541,-1.03750,1.82910,1.74646
" 2022, 7, 4, 11, 12, 34, 15000",-0.00547,0.98256,0.05697,-0.17691,0.11218,0.00007,-0.07685,-1.01099,0.87325,1.61156,-1.01272,0.69130,1.59070,-1.01444,0.50935,1.56984,-1.01610,0.32741,1.54887,-0.97318,0.32885,1.53298,-0.84537,0.33314,1.48568,-0.82292,0.57518,1.49583,-0.82646,0.80172,1.43760,-0.82717,0.84703,1.42595,-0.82858,0.93765,1.40266,-0.88052,0.89642,1.43339,-1.05901,0.32597,1.56475,-1.18682,0.32168,1.61206,-1.21566,0.56196,1.58712,-1.24217,0.79347,1.56651,-1.24747,0.83978,1.56239,-1.25807,0.93238,1.55415,-1.20040,0.89031,1.53849,-0.91726,0.87634,1.57685,-0.91379,1.32499,1.61150,-0.91186,1.72402,1.63921,-0.95318,1.83177,1.53395,-1.10473,0.87016,1.64626,-1.10126,1.31881,1.68090,-1.09932,1.71784,1.70862,-1.14065,1.82559,1.60335,-1.03967,0.19841,1.50801,-1.05199,0.11094,1.48385,-1.03272,0.08562,1.46155,-0.93819,0.08662,1.51389,-1.07864,0.08377,1.49165,-1.06831,0.08138,1.59919,-0.89744,1.82111,1.68354,-1.08490,1.81493,1.75295
" 2022, 7, 4, 11, 12, 34, 98000",0.00621,0.97773,0.05946,-0.20118,0.00320,0.00012,-0.09273,-1.05914,0.86529,1.58791,-1.06575,0.68345,1.56707,-1.07236,0.50161,1.54624,-1.07899,0.31978,1.52531,-1.03692,0.32032,1.50727,-0.91130,0.32193,1.45340,-0.87619,0.56276,1.46822,-0.87143,0.79118,1.41564,-0.87048,0.83686,1.40512,-0.86858,0.92823,1.38409,-0.92094,0.88869,1.41663,-1.12107,0.31924,1.54336,-1.24669,0.31763,1.59723,-1.32172,0.54952,1.59048,-1.39342,0.77266,1.58507,-1.40776,0.81729,1.58398,-1.43644,0.90655,1.58182,-1.37320,0.87707,1.55954,-0.96725,0.86647,1.54850,-0.95561,1.31508,1.58185,-0.94659,1.71409,1.60841,-0.99162,1.82223,1.50508,-1.15104,0.86411,1.62732,-1.13940,1.31272,1.66068,-1.13039,1.71174,1.68724,-1.17542,1.81988,1.58390,-1.11017,0.19312,1.48227,-1.12716,0.10667,1.45730,-1.11050,0.08130,1.43304,-1.01224,0.07813,1.47789,-1.15401,0.08017,1.46657,-1.13552,0.07492,1.57291,-0.92858,1.81105,1.65171,-1.11238,1.80869,1.73053
" 2022, 7, 4, 11, 12, 34, 198000",0.02308,0.97269,0.05382,-0.22461,-0.09296,0.00023,-0.13282,-1.11829,0.86168,1.54651,-1.13094,0.67979,1.52923,-1.14359,0.49790,1.51195,-1.15632,0.31602,1.49461,-1.11520,0.31506,1.47449,-0.99246,0.31220,1.41442,-0.94155,0.55087,1.42426,-0.92535,0.77842,1.36845,-0.92211,0.82393,1.35729,-0.91563,0.91495,1.33497,-0.96863,0.87903,1.37081,-1.19744,0.31698,1.51473,-1.32017,0.31984,1.57479,-1.35352,0.55848,1.53489,-1.38581,0.78784,1.49606,-1.39227,0.83371,1.48829,-1.40519,0.92545,1.47276,-1.34851,0.88234,1.45509,-1.02848,0.85961,1.50256,-1.00743,1.30824,1.53054,-0.99016,1.70727,1.55244,-1.03830,1.81520,1.45030,-1.20809,0.86376,1.59045,-1.18703,1.31239,1.61843,-1.16976,1.71141,1.64033,-1.21791,1.81935,1.53819,-1.19547,0.19194,1.45056,-1.21645,0.10616,1.42630,-1.20240,0.08068,1.40056,-1.10095,0.07480,1.43732,-1.24309,0.08019,1.43749,-1.21623,0.07341,1.54194,-0.96835,1.80430,1.59379,-1.14796,1.80844,1.68167
" 2022, 7, 4, 11, 12, 34, 282000",0.02615,0.95745,0.05520,-0.28205,-0.18062,0.00034,-0.17536,-1.14196,0.86535,1.46978,-1.15683,0.68357,1.45312,-1.17171,0.50179,1.43646,-1.18668,0.32002,1.41974,-1.14824,0.31914,1.39488,-1.03373,0.31652,1.32080,-0.98241,0.55508,1.32203,-0.97334,0.78183,1.26241,-0.97153,0.82718,1.25048,-0.96790,0.91788,1.22664,-1.01613,0.88236,1.26889,-1.22512,0.32090,1.44461,-1.33963,0.32352,1.51868,-1.36033,0.55768,1.45322,-1.37999,0.78296,1.39064,-1.38392,0.82801,1.37812,-1.39179,0.91813,1.35309,-1.34022,0.86896,1.33586,-1.05800,0.86346,1.41548,-1.03503,1.31203,1.44291,-1.01644,1.71102,1.46445,-1.07665,1.81921,1.36923,-1.22591,0.86724,1.52408,-1.20293,1.31582,1.55151,-1.18434,1.71480,1.57304,-1.24456,1.82300,1.47783,-1.23283,0.19871,1.37475,-1.25739,0.11429,1.34915,-1.24688,0.09008,1.32064,-1.14169,0.08215,1.34412,-1.28265,0.08786,1.36229,-1.24305,0.07586,1.46212,-0.99017,1.80794,1.50336,-1.15807,1.81173,1.61196
" 2022, 7, 4, 11, 12, 34, 415000",0.02802,0.94504,0.05028,-0.32185,-0.18062,0.00041,-0.17536,-1.16069,0.86221,1.43312,-1.17632,0.68027,1.41902,-1.19195,0.49834,1.40492,-1.20768,0.31641,1.39079,-1.17145,0.31545,1.36281,-1.06427,0.31261,1.28001,-1.02937,0.55165,1.28755,-1.03987,0.77837,1.23759,-1.04197,0.82371,1.22760,-1.04617,0.91440,1.20761,-1.08819,0.87443,1.25130,-1.24391,0.31737,1.41877,-1.35109,0.32021,1.50157,-1.39374,0.55264,1.45085,-1.43452,0.77623,1.40237,-1.44268,0.82095,1.39268,-1.45899,0.91039,1.37329,-1.40697,0.86620,1.34854,-1.08157,0.86015,1.37200,-1.05661,1.30884,1.39540,-1.03643,1.70792,1.41359,-1.10443,1.81570,1.32327,-1.23982,0.86427,1.49423,-1.21486,1.31296,1.51763,-1.19468,1.71204,1.53582,-1.26268,1.81982,1.44550,-1.25692,0.19587,1.34704,-1.28231,0.11181,1.32107,-1.27381,0.08857,1.29113,-1.16697,0.08170,1.30578,-1.30605,0.08461,1.33544,-1.25830,0.07049,1.43135,-1.00703,1.80501,1.44976,-1.16528,1.80913,1.57198
" 2022, 7, 4, 11, 12, 34, 498000",0.02778,0.95013,0.04867,-0.30678,-0.18062,0.00038,-0.17536,-1.17850,0.86249,1.42021,-1.19364,0.68049,1.40639,-1.20878,0.49849,1.39258,-1.22402,0.31650,1.37873,-1.18693,0.31544,1.35191,-1.07778,0.31230,1.27301,-1.04674,0.55004,1.28336,-1.05867,0.77536,1.23504,-1.06106,0.82043,1.22538,-1.06583,0.91056,1.20605,-1.10843,0.86997,1.24770,-1.26112,0.31757,1.40555,-1.37027,0.32071,1.48445,-1.41079,0.55146,1.43245,-1.44961,0.77341,1.38266,-1.45737,0.81780,1.37270,-1.47290,0.90658,1.35278,-1.42052,0.86263,1.32993,-1.09748,0.86020,1.36164,-1.07238,1.30891,1.38444,-1.05196,1.70800,1.40207,-1.11685,1.81565,1.30933,-1.25953,0.86478,1.47877,-1.23442,1.31350,1.50157,-1.21400,1.71259,1.51921,-1.27890,1.82023,1.42646,-1.27153,0.19590,1.33329,-1.29553,0.11184,1.30600,-1.28594,0.08885,1.27618,-1.17956,0.08259,1.29412,-1.31951,0.08439,1.31945,-1.27468,0.06995,1.41671,-1.02352,1.80515,1.43886,-1.18557,1.80973,1.55600
" 2022, 7, 4, 11, 12, 34, 582000",0.02671,0.95150,0.04933,-0.30250,-0.18058,0.00036,-0.17539,-1.18154,0.86256,1.42295,-1.19631,0.68056,1.40872,-1.21108,0.49857,1.39449,-1.22595,0.31658,1.38022,-1.18861,0.31560,1.35374,-1.07945,0.31275,1.27633,-1.05203,0.54908,1.28917,-1.06647,0.77304,1.24319,-1.06936,0.81784,1.23399,-1.07513,0.90742,1.21560,-1.11730,0.86615,1.25611,-1.26330,0.31756,1.40670,-1.37246,0.32041,1.48411,-1.41017,0.54943,1.43032,-1.44629,0.76972,1.37881,-1.45351,0.81377,1.36851,-1.46796,0.90189,1.34790,-1.41603,0.85768,1.32620,-1.09998,0.86046,1.36512,-1.07564,1.30919,1.38860,-1.05588,1.70828,1.40681,-1.12006,1.81594,1.31359,-1.26309,0.86466,1.48078,-1.23875,1.31338,1.50426,-1.21899,1.71248,1.52247,-1.28317,1.82013,1.42925,-1.27290,0.19602,1.33407,-1.29654,0.11216,1.30589,-1.28667,0.08944,1.27596,-1.18043,0.08319,1.29472,-1.32059,0.08456,1.31891,-1.27653,0.06938,1.41641,-1.02790,1.80543,1.44396,-1.19102,1.80962,1.55961
" 2022, 7, 4, 11, 12, 34, 682000",0.03808,-0.54052,-0.07043,0.83751,-0.39318,0.00067,-0.29306,-1.55066,0.86676,1.31721,-1.56473,0.68596,1.29159,-1.57879,0.50516,1.26596,-1.59320,0.32448,1.23963,-1.61176,0.33197,1.19845,-1.64788,0.34652,1.11834,-1.63502,0.50328,1.14208,-1.66604,0.64728,1.18321,-1.67225,0.67609,1.19144,-1.68466,0.73369,1.20789,-1.66358,0.69867,1.23265,-1.57463,0.31700,1.28081,-1.53852,0.30245,1.36093,-1.51791,0.45908,1.37947,-1.49793,0.60967,1.39722,-1.49393,0.63979,1.40077,-1.48594,0.70003,1.40787,-1.50484,0.67578,1.37129,-1.59123,0.88267,1.22721,-1.57421,1.33054,1.26754,-1.56165,1.72862,1.30454,-1.66796,1.82702,1.36299,-1.51008,0.85085,1.40721,-1.49306,1.29871,1.44754,-1.48050,1.69680,1.48454,-1.58681,1.79520,1.54299,-1.63511,0.19506,1.22064,-1.65658,0.10802,1.20195,-1.66915,0.08897,1.17051,-1.58730,0.11201,1.10382,-1.65689,0.07485,1.22217,-1.55256,0.07201,1.25020,-1.52203,1.82852,1.29739,-1.44088,1.79669,1.47739
" 2022, 7, 4, 11, 12, 34, 815000",0.03115,-0.32181,-0.06510,0.94405,-0.59445,0.00085,-0.36639,-1.69325,0.84886,1.24895,-1.71209,0.66762,1.23050,-1.73093,0.48638,1.21205,-1.75022,0.30522,1.19328,-1.78612,0.31190,1.16565,-1.85670,0.32505,1.11133,-1.83993,0.48395,1.12766,-1.85359,0.62855,1.18015,-1.85633,0.65747,1.19065,-1.86179,0.71531,1.21165,-1.82998,0.68103,1.22350,-1.71433,0.29853,1.22090,-1.64375,0.28538,1.27523,-1.63327,0.44156,1.31122,-1.62309,0.59176,1.34570,-1.62105,0.62180,1.35260,-1.61698,0.68187,1.36639,-1.64800,0.65885,1.33748,-1.77169,0.86316,1.18859,-1.74600,1.31131,1.22021,-1.72107,1.70972,1.24561,-1.78823,1.80786,1.34689,-1.61481,0.83456,1.30930,-1.58912,1.28271,1.34092,-1.56420,1.68112,1.36632,-1.63135,1.77927,1.46760,-1.76051,0.16884,1.18049,-1.76705,0.07787,1.17229,-1.79102,0.05362,1.15365,-1.77493,0.08920,1.05290,-1.74702,0.04754,1.18600,-1.65026,0.07197,1.14453,-1.69038,1.80981,1.22031,-1.53350,1.78121,1.34102
" 2022, 7, 4, 11, 12, 34, 915000",0.02615,-0.20630,-0.06110,0.97623,-0.69661,0.00098,-0.37871,-1.84510,0.83922,1.23322,-1.86497,0.65769,1.21925,-1.88485,0.47615,1.20528,-1.90533,0.29471,1.19105,-1.94685,0.30083,1.17276,-2.04422,0.31519,1.12988,-2.02320,0.50344,1.14453,-2.02680,0.67425,1.20919,-2.02753,0.70841,1.22213,-2.02897,0.77674,1.24799,-1.98849,0.73677,1.25261,-1.86380,0.28859,1.20934,-1.76644,0.27424,1.25222,-1.74157,0.45045,1.31875,-1.71758,0.61993,1.38255,-1.71278,0.65383,1.39531,-1.70319,0.72162,1.42083,-1.74733,0.69916,1.39248,-1.93584,0.85223,1.19326,-1.90857,1.30075,1.21729,-1.88037,1.69956,1.22971,-1.92182,1.79927,1.34258,-1.75436,0.82621,1.27318,-1.72709,1.27474,1.29721,-1.69889,1.67355,1.30963,-1.74033,1.77326,1.42250,-1.92066,0.15822,1.19305,-1.92851,0.06704,1.19620,-1.95604,0.04148,1.18629,-1.96399,0.06613,1.08138,-1.90569,0.03789,1.20800,-1.82135,0.05597,1.14291,-1.85716,1.79926,1.19623,-1.67567,1.77325,1.27615
" 2022, 7, 4, 11, 12, 34, 998000",0.01299,-0.06588,-0.05698,0.99611,-0.77779,0.00092,-0.37659,-1.93152,0.83659,1.19333,-1.95199,0.65470,1.18721,-1.97247,0.47280,1.18110,-1.99325,0.29094,1.17495,-2.03833,0.29629,1.16900,-2.16239,0.31102,1.15263,-2.13703,0.53189,1.16011,-2.12257,0.73279,1.23209,-2.11967,0.77297,1.24648,-2.11389,0.85334,1.27527,-2.06624,0.80713,1.26755,-1.94817,0.28558,1.18090,-1.82411,0.27085,1.19728,-1.82461,0.47537,1.28477,-1.82505,0.67211,1.36871,-1.82514,0.71145,1.38550,-1.82532,0.79015,1.41908,-1.87585,0.75404,1.39442,-2.03000,0.84812,1.18035,-1.99866,1.29684,1.19309,-1.96856,1.69566,1.18745,-1.97659,1.79823,1.30499,-1.83303,0.82507,1.20630,-1.80170,1.27380,1.21904,-1.77160,1.67262,1.21340,-1.77962,1.77518,1.33094,-2.00468,0.15405,1.17558,-2.01123,0.06272,1.17647,-2.04056,0.03726,1.17535,-2.08425,0.06702,1.08110,-1.98582,0.03337,1.17811,-1.92916,0.05598,1.08893,-1.95585,1.79442,1.14638,-1.75889,1.77137,1.17234
